job,total_contacts,conversions,conversion_rate_pct,avg_duration_sec,housing_loan_pct,personal_loan_pct,share_of_total_contacts_pct,cvr_ci_lower,cvr_ci_upper,z_score_vs_rest,p_value,is_stat_sig_at_95
student,875,275,31.43,283.7,53.83,16.23,2.12,28.35,34.5,19.07,0.0,True
retired,1720,434,25.23,273.7,51.86,13.95,4.18,23.18,27.29,18.72,0.0,True
unemployed,1014,144,14.2,249.5,54.93,14.69,2.46,12.05,16.35,2.99,0.0028,True
admin.,10422,1352,12.97,254.3,53.34,16.41,25.3,12.33,13.62,6.38,0.0,True
management,2924,328,11.22,257.1,50.96,15.01,7.1,10.07,12.36,-0.09,0.9323,False
unknown,330,37,11.21,239.7,52.12,17.27,0.8,7.81,14.62,-0.03,0.9755,False
technician,6743,730,10.83,250.2,53.63,14.67,16.37,10.08,11.57,-1.25,0.2121,False
self-employed,1421,149,10.49,264.1,52.08,13.72,3.45,8.89,12.08,-0.95,0.344,False
housemaid,1060,106,10.0,250.5,50.94,14.53,2.57,8.19,11.81,-1.32,0.1868,False
entrepreneur,1456,124,8.52,263.3,53.5,14.15,3.54,7.08,9.95,-3.38,0.0007,True
services,3969,323,8.14,258.4,51.65,15.14,9.64,7.29,8.99,-6.56,0.0,True
blue-collar,9254,638,6.89,264.5,50.9,14.76,22.47,6.38,7.41,-15.1,0.0,True
