month,total_contacts,conversions,conversion_rate_pct,avg_duration_sec,euribor_3m_avg,consumer_conf_idx,volume_share_pct,cvr_ci_lower,cvr_ci_upper
mar,546,276,50.55,245.9,1.16,-42.7,1.33,46.36,54.74
apr,2632,539,20.48,293.2,1.36,-46.3,6.39,18.94,22.02
may,13769,886,6.43,261.2,3.29,-40.6,33.43,6.02,6.84
jun,5318,559,10.51,242.6,4.26,-41.6,12.91,9.69,11.34
jul,7174,649,9.05,273.4,4.69,-42.4,17.42,8.38,9.71
aug,6178,655,10.6,232.4,4.3,-35.6,15.0,9.83,11.37
sep,570,256,44.91,297.7,0.83,-33.9,1.38,40.83,49.0
oct,718,315,43.87,288.4,1.2,-34.6,1.74,40.24,47.5
nov,4101,416,10.14,245.9,3.72,-41.2,9.96,9.22,11.07
dec,182,89,48.9,345.6,0.87,-33.7,0.44,41.64,56.16
