month_clean,contact,total_contacts,conversions,conversion_rate_pct
apr,cellular,2445,493,20.16
apr,telephone,187,46,24.6
aug,cellular,5909,619,10.48
aug,telephone,269,36,13.38
dec,cellular,149,78,52.35
dec,telephone,33,11,33.33
jul,cellular,6096,591,9.69
jul,telephone,1078,58,5.38
jun,cellular,820,349,42.56
jun,telephone,4498,210,4.67
mar,cellular,486,252,51.85
mar,telephone,60,24,40.0
may,cellular,5518,614,11.13
may,telephone,8251,272,3.3
nov,cellular,3676,366,9.96
nov,telephone,425,50,11.76
oct,cellular,563,253,44.94
oct,telephone,155,62,40.0
sep,cellular,482,238,49.38
sep,telephone,88,18,20.45
